"GUID","synth1","synth3","synth4","synth2","synth round 1 age","synth round 2 age","synth round 3 age","synth round 4 age"
165621442,1600,,,,"25-34","35-44","35-44","35-44"
-1661014,,,,3566,"25-34","25-34","35-44","35-44"
-6815359,6541,,,,"25-34","35-44","35-44","45-54"
-623476261,,4758,,4758,"45-54","45-54","45-54","55-64"
1580800848,,,12712,,"25-34","25-34","25-34","35-44"
868010246,2333,,,,"55-64","55-64","65-74","65-74"
-2109793425,,9411,,,"0-15","16-24","16-24","25-34"
670535830,383,,,,"25-34","35-44","35-44","35-44"
-1240306831,1466,,,,"45-54","55-64","55-64","65-74"
-1597431595,5248,,,,"45-54","55-64","55-64","65-74"
-1727010469,4014,,,,"16-24","25-34","25-34","35-44"
-1860488699,,,16259,,"16-24","25-34","25-34","25-34"
-1416818488,,3855,,3855,"25-34","25-34","35-44","35-44"
-1468046610,2735,,,,"45-54","55-64","55-64","55-64"
284382068,1616,,,,"35-44","45-54","45-54","55-64"
345361586,1376,,,,"55-64","65-74","65-74","75-84"
1678998261,348,,,,"25-34","35-44","35-44","35-44"
1105660194,3604,,,,"25-34","25-34","35-44","35-44"
-506587112,,,,4207,"65-74","75-84","75-84","85+"
1272195283,3085,,,,"16-24","25-34","25-34","35-44"
258982350,2920,,,,"25-34","25-34","35-44","35-44"
-896815546,2179,,,,"45-54","55-64","55-64","65-74"
1961510258,,,7777,,"16-24","16-24","25-34","25-34"
1637977755,,,12659,,"0-15","16-24","16-24","25-34"
1946903569,6498,,,,"25-34","25-34","25-34","35-44"
-1332889289,4814,,,,"35-44","35-44","45-54","45-54"
-2045610173,,,,4607,"25-34","25-34","25-34","35-44"
603781376,1332,,1343,1343,"45-54","55-64","55-64","55-64"
-1129695127,4474,,,,"45-54","45-54","55-64","55-64"
2131004319,,6792,,,"45-54","45-54","55-64","55-64"
-1903946753,228,3545,,,"45-54","45-54","55-64","55-64"
-1104789759,1402,,,,"55-64","55-64","65-74","65-74"
-931618064,3882,,,,"45-54","45-54","55-64","55-64"
-779326835,3708,,2307,2307,"25-34","25-34","35-44","35-44"
293119714,,,12986,,"16-24","25-34","25-34","35-44"
-521468072,6425,,,3397,"25-34","25-34","35-44","35-44"
1597977714,,5923,,,"35-44","35-44","45-54","45-54"
-1537930554,2081,,,,"45-54","45-54","55-64","55-64"
1192630306,3036,,,,"25-34","25-34","35-44","35-44"
1407169660,5708,,,,"35-44","45-54","45-54","55-64"
-1082163943,,,,6262,"25-34","25-34","35-44","35-44"
-1463324583,,8405,,,"16-24","25-34","25-34","35-44"
505191906,,4560,4560,4560,"35-44","35-44","45-54","45-54"
519444783,,,,5364,"16-24","16-24","25-34","25-34"
-262994300,,,16596,,"16-24","25-34","25-34","25-34"
-1656663229,,7601,,,"16-24","16-24","25-34","25-34"
-1251162125,1134,,,,"55-64","55-64","65-74","65-74"
1940349204,3615,,,,"25-34","25-34","35-44","35-44"
910174821,,5470,5470,5470,"16-24","25-34","25-34","35-44"
35662235,5301,,,,"25-34","25-34","35-44","35-44"
-1273252477,4320,,,,"16-24","25-34","25-34","35-44"
-1290991424,,6829,,,"16-24","25-34","25-34","35-44"
-1954821833,6479,,,3430,"25-34","25-34","25-34","35-44"
-17179728,3511,,,,"45-54","45-54","55-64","55-64"
-1728826177,3713,2309,10233,2309,"35-44","35-44","45-54","45-54"
-2037121174,,5483,5483,5483,"25-34","25-34","35-44","35-44"
-1014075622,5005,2846,2846,2846,"35-44","35-44","35-44","45-54"
1256600586,6432,,,3403,"45-54","45-54","55-64","55-64"
-1621128080,4243,,,,"25-34","25-34","35-44","35-44"
1216454938,5109,,,,"25-34","25-34","35-44","35-44"
1763962082,,6922,,,"45-54","45-54","55-64","55-64"
-821194459,2645,,,,"16-24","25-34","25-34","35-44"
181743812,,,16506,4511,"16-24","25-34","25-34","35-44"
1353053163,,9464,,,"16-24","16-24","25-34","25-34"
-304488015,,,13150,,"16-24","16-24","25-34","25-34"
-1149840033,5775,3175,,3175,"25-34","25-34","35-44","35-44"
-874674626,2835,,,,"25-34","35-44","35-44","35-44"
-1493488877,2064,,,,"25-34","35-44","35-44","45-54"
-1666985415,,,,4075,"25-34","35-44","35-44","45-54"
643306531,,,14167,,"16-24","16-24","25-34","25-34"
1980725927,,,10140,,"16-24","25-34","25-34","35-44"
245130010,59,,,,"25-34","35-44","35-44","45-54"
286525990,,,,6024,"16-24","25-34","25-34","35-44"
-1609702736,,,,3795,"45-54","45-54","55-64","55-64"
521573039,1188,,,,"45-54","55-64","55-64","65-74"
-1269036324,3108,,,4114,"35-44","35-44","45-54","45-54"
1515058000,,,,3808,"35-44","35-44","45-54","45-54"
1458913093,,2584,,2584,"16-24","25-34","25-34","35-44"
-772722727,,,,5339,"16-24","25-34","25-34","35-44"
923497433,,,11558,,"16-24","25-34","25-34","35-44"
-641984049,,9455,,,"25-34","35-44","35-44","45-54"
1231155578,,,,5887,"25-34","35-44","35-44","45-54"
1254011425,,7653,,,"16-24","25-34","25-34","25-34"
-1231073954,,9545,,,"25-34","35-44","35-44","35-44"
1744378200,,,,4471,"25-34","25-34","35-44","35-44"
-924311491,,9525,,,"16-24","25-34","25-34","35-44"
276268544,,6061,,6061,"25-34","25-34","35-44","35-44"
426492131,,8841,,,"25-34","35-44","35-44","45-54"
692637606,,7041,,,"25-34","35-44","35-44","35-44"
617851082,73,907,907,907,"35-44","35-44","45-54","45-54"
1462708294,,,,4123,"45-54","45-54","55-64","55-64"
871117415,2002,,,,"45-54","45-54","55-64","55-64"
2136244921,4083,,,,"45-54","45-54","55-64","55-64"
268410850,6458,,,,"25-34","25-34","35-44","35-44"
1651028264,,8124,,,"25-34","35-44","35-44","35-44"
-889904115,,3420,,,"25-34","25-34","35-44","35-44"
-457903820,,3866,,,"35-44","35-44","45-54","45-54"
1707716379,,,11544,,"25-34","25-34","35-44","35-44"
-1743710186,,,,4389,"16-24","25-34","25-34","25-34"
-1510909211,4535,,,,"25-34","35-44","35-44","45-54"
-105392583,291,,,,"35-44","35-44","45-54","45-54"
-581816881,5808,,,,"25-34","25-34","35-44","35-44"
-630087113,1400,,,,"25-34","25-34","35-44","35-44"
1720526823,,,,4562,"25-34","25-34","35-44","35-44"
-15038529,,,16347,,"0-15","16-24","16-24","25-34"
-1522862678,,8572,,,"16-24","16-24","25-34","25-34"
1502207928,6331,,,,"35-44","45-54","45-54","55-64"
1491166655,2304,,,,"25-34","35-44","35-44","35-44"
-2018384743,1452,,,,"25-34","35-44","35-44","45-54"
105207095,,7327,,,"16-24","25-34","25-34","35-44"
2106852958,1285,,,,"25-34","35-44","35-44","35-44"
1559323082,,3561,,3561,"25-34","25-34","25-34","35-44"
-667418117,2135,,,,"35-44","35-44","35-44","45-54"
-1626511709,,,,1635,"35-44","35-44","35-44","45-54"
-1201095514,820,,,,"25-34","25-34","35-44","35-44"
-1661083158,54,,,,"25-34","25-34","35-44","35-44"
1284295051,,8701,,,"16-24","25-34","25-34","35-44"
-1506898345,,8003,,,"16-24","16-24","25-34","25-34"
378134654,,7821,,,"35-44","35-44","45-54","45-54"
980000531,,7796,7796,,"16-24","25-34","25-34","25-34"
1048594847,,8646,,,"25-34","25-34","35-44","35-44"
295222604,,8202,,,"0-15","16-24","16-24","25-34"
1020660611,3683,,,,"25-34","35-44","35-44","35-44"
-1580944194,,,,5043,"35-44","45-54","45-54","45-54"
779880901,,,16373,,"0-15","0-15","16-24","16-24"
-602370431,,6630,,,"16-24","16-24","25-34","25-34"
112115393,1363,,,,"35-44","35-44","45-54","45-54"
-35636971,1160,,,,"45-54","45-54","55-64","55-64"
-777717357,,6363,,6363,"25-34","35-44","35-44","45-54"
646071088,,6898,,,"16-24","16-24","25-34","25-34"
1287444939,,6709,,,"16-24","25-34","25-34","25-34"
-1786785,,7883,,6168,"25-34","25-34","25-34","35-44"
-1656154527,,9126,,,"16-24","25-34","25-34","35-44"
-1638366541,5648,,,,"25-34","25-34","35-44","35-44"
1242067468,643,,,,"16-24","25-34","25-34","35-44"
-1232798838,4501,2668,,,"35-44","35-44","45-54","45-54"
2130366043,,,16720,,"25-34","25-34","35-44","35-44"
-1182101783,,7630,,,"45-54","45-54","55-64","55-64"
1172573382,,,11520,,"0-15","16-24","16-24","25-34"
1225654055,,8021,,,"16-24","25-34","25-34","25-34"
-934606566,,,12756,,"25-34","25-34","35-44","35-44"
1832808412,,,,6114,"16-24","16-24","25-34","25-34"
-938360264,427,,,4704,"25-34","35-44","35-44","35-44"
-277110255,,,,3512,"25-34","35-44","35-44","35-44"
-953331405,,,16292,,"16-24","16-24","25-34","25-34"
-1199690409,,3908,,3908,"25-34","25-34","35-44","35-44"
482143228,,9007,,,"25-34","25-34","25-34","35-44"
199404564,,7613,7613,,"16-24","25-34","25-34","25-34"
-1034563772,,7719,,,"16-24","25-34","25-34","25-34"
2108274619,,,16635,,"25-34","25-34","25-34","35-44"
761285237,,,,6017,"16-24","25-34","25-34","35-44"
-1835625173,,,,5242,"25-34","25-34","35-44","35-44"
-597276913,,6648,,,"25-34","25-34","35-44","35-44"
-1556404082,,9206,,,"0-15","16-24","16-24","25-34"
1364498253,,,,4768,"16-24","25-34","25-34","35-44"
-64839222,,8691,,5247,"25-34","25-34","35-44","35-44"
1288861909,,,14189,,"16-24","25-34","25-34","25-34"
-1851892745,,9225,12753,,"16-24","25-34","25-34","25-34"
1627174701,,7676,,,"25-34","25-34","25-34","35-44"
1198854726,,,,3492,"25-34","25-34","25-34","35-44"
-2142286190,,7708,,,"16-24","16-24","25-34","25-34"
1159756959,1446,1397,,,"25-34","35-44","35-44","45-54"
-1369901715,2230,,,1697,"25-34","25-34","35-44","35-44"
-847012898,,7184,,,"25-34","25-34","25-34","35-44"
-1350491904,,,16390,,"16-24","25-34","25-34","35-44"
-514105611,,,,6104,"16-24","16-24","25-34","25-34"
-1171794376,,4720,,4720,"35-44","35-44","45-54","45-54"
867307010,4418,2628,,,"35-44","35-44","45-54","45-54"
1279054652,,,11499,,"16-24","16-24","25-34","25-34"
1012064874,,5891,5891,5891,"55-64","55-64","65-74","65-74"
-1527143231,,,14180,,"16-24","16-24","25-34","25-34"
-385592692,2928,,,,"25-34","25-34","25-34","35-44"
-887037679,,,10170,,"0-15","16-24","16-24","25-34"
987815536,6304,,,,"16-24","25-34","25-34","35-44"
1452621371,,,,5906,"16-24","25-34","25-34","25-34"
1584790946,1867,,,,"25-34","25-34","35-44","35-44"
-1708037870,381,,,,"55-64","55-64","55-64","65-74"
-964350304,,,16456,,"0-15","16-24","16-24","25-34"
-1426146196,,8517,,,"35-44","45-54","45-54","45-54"
-1479116792,5201,,,,"25-34","25-34","35-44","35-44"
-429667037,,7683,,,"25-34","25-34","35-44","35-44"
-1730921532,2851,,,,"45-54","45-54","55-64","55-64"
-1763683296,,,13149,,"25-34","25-34","35-44","35-44"
-184051629,4117,,,,"45-54","45-54","55-64","55-64"
135211579,2543,,,,"35-44","45-54","45-54","55-64"
660432909,,,,4064,"25-34","25-34","35-44","35-44"
-207755132,2392,,,,"45-54","55-64","55-64","55-64"
240357653,,,13156,,"16-24","25-34","25-34","35-44"
-635275992,,4606,4606,,"25-34","35-44","35-44","45-54"
-843589971,3521,,,2197,"55-64","55-64","65-74","65-74"
1981718338,1211,,,,"35-44","35-44","45-54","45-54"
842253186,683,,,,"45-54","55-64","55-64","65-74"
-146572077,,,14168,,"25-34","25-34","35-44","35-44"
-1591536398,,5381,,,"25-34","25-34","35-44","35-44"
-488605060,2311,,,,"55-64","55-64","55-64","65-74"
1392221707,5001,,,2845,"25-34","25-34","35-44","35-44"
820048697,,7893,,,"0-15","16-24","16-24","25-34"
317545336,,,10173,,"25-34","25-34","35-44","35-44"
-1361767182,260,,,,"25-34","25-34","35-44","35-44"
-211449140,1692,,,,"25-34","25-34","35-44","35-44"
267266108,4132,,,,"25-34","35-44","35-44","35-44"
-279687709,,8944,,,"35-44","35-44","45-54","45-54"
1930500851,2859,,,,"25-34","25-34","35-44","35-44"
1357507297,1484,,,,"25-34","35-44","35-44","35-44"
-784231526,,,12776,,"16-24","16-24","25-34","25-34"
-1879185218,4169,,,,"25-34","25-34","35-44","35-44"
-1396050290,4426,,,,"25-34","25-34","35-44","35-44"
748226911,,,10132,,"55-64","55-64","65-74","65-74"
737960777,,9416,,,"35-44","35-44","45-54","45-54"
-1782817599,6454,,,,"35-44","45-54","45-54","45-54"
1026990331,1143,,,,"25-34","35-44","35-44","35-44"
2001804907,,,16365,,"16-24","16-24","25-34","25-34"
-949403758,5498,3023,3023,,"25-34","25-34","35-44","35-44"
701192404,1621,,,,"25-34","25-34","35-44","35-44"
1725615320,,,,3546,"25-34","25-34","35-44","35-44"
-1621888617,22,,,,"25-34","35-44","35-44","45-54"
1525891003,1182,,,,"25-34","25-34","35-44","35-44"
-2123571348,,8513,,,"0-15","16-24","25-34","25-34"
1207235398,,7641,,,"25-34","25-34","35-44","35-44"
41161613,646,,,1168,"25-34","25-34","35-44","35-44"
-1128950531,,,,4830,"45-54","45-54","55-64","55-64"
155087053,4135,,,,"45-54","45-54","55-64","55-64"
-185659098,,9776,,,"16-24","25-34","25-34","35-44"
976918437,,,770,,"55-64","55-64","65-74","65-74"
-286037635,,2313,2313,,"25-34","35-44","35-44","45-54"
-297965187,3718,,,,"35-44","35-44","35-44","45-54"
-328959407,,7854,,5635,"16-24","25-34","25-34","35-44"
-668231519,,,16644,,"25-34","25-34","35-44","35-44"
649936306,,,16523,,"16-24","25-34","25-34","35-44"
1100642018,"4525,1337",,1346,1346,"35-44","45-54","45-54","55-64"
-692939711,,,,3705,"35-44","35-44","45-54","45-54"
-1511298037,,6101,,6101,"25-34","25-34","35-44","35-44"
1581169295,,,16426,,"0-15","16-24","16-24","25-34"
1902293600,2708,,,,"25-34","25-34","35-44","35-44"
1949197405,,2754,,2754,"35-44","35-44","45-54","45-54"
98861034,,,10380,,"0-15","16-24","16-24","25-34"
718659390,,,11560,,"16-24","16-24","25-34","25-34"
1936945131,3510,,,,"25-34","35-44","35-44","35-44"
-773111869,4420,,,,"25-34","25-34","35-44","35-44"
-975386525,1213,3497,3497,3497,"45-54","55-64","55-64","65-74"
31417588,,3940,,3940,"16-24","25-34","25-34","35-44"
-1835218618,,,,4969,"16-24","25-34","25-34","35-44"
-68422403,,598,,,"45-54","45-54","55-64","55-64"
-583833045,,7925,,,"25-34","25-34","35-44","35-44"
1555178641,,,14179,,"35-44","35-44","45-54","45-54"
81403853,,7512,,,"25-34","25-34","35-44","35-44"
1918725682,,8868,,,"16-24","25-34","25-34","35-44"
-1020940599,616,,,,"45-54","45-54","55-64","55-64"
1730356407,,,,4154,"45-54","55-64","55-64","65-74"
-1166759056,,5342,,5342,"16-24","25-34","25-34","25-34"
449175315,5462,,,,"25-34","25-34","35-44","35-44"
627678175,,,,3609,"16-24","25-34","25-34","35-44"
-1370390282,2105,,,,"25-34","25-34","35-44","35-44"
1419068840,,,,3743,"25-34","25-34","35-44","35-44"
78443825,3132,,,,"25-34","25-34","35-44","35-44"
-1033310120,1089,,,1207,"25-34","25-34","35-44","35-44"
616867058,3149,,,,"45-54","45-54","55-64","55-64"
-1709264685,1550,1449,1449,1449,"45-54","55-64","55-64","55-64"
-369495665,4006,,,,"25-34","35-44","35-44","35-44"
114251492,1215,,,,"35-44","45-54","45-54","55-64"
1678170109,,7940,,,"16-24","16-24","25-34","25-34"
449799552,1345,,,,"25-34","25-34","35-44","35-44"
-891811272,,4407,,,"25-34","35-44","35-44","45-54"
1954191507,,7878,,,"16-24","16-24","25-34","25-34"
1760189055,2289,,,,"25-34","25-34","35-44","35-44"
1283037322,1453,1403,1403,1403,"25-34","25-34","35-44","35-44"
-1668267515,"1371,2923",,,,"25-34","25-34","35-44","35-44"
-1645162991,,,12841,,"16-24","16-24","25-34","25-34"
-1911729901,5068,,,2881,"45-54","55-64","55-64","65-74"
-890118433,2963,,,2014,"25-34","25-34","35-44","35-44"
229816342,,7371,,,"16-24","25-34","25-34","25-34"
-849584330,4399,,,2616,"25-34","25-34","35-44","35-44"
1431771051,,8695,8695,4978,"25-34","35-44","35-44","35-44"
-1644580040,,7849,,,"16-24","16-24","25-34","25-34"
-1720503659,1418,,,,"25-34","35-44","35-44","45-54"
871508195,,,12594,,"35-44","35-44","45-54","45-54"
789148792,,,,3680,"25-34","25-34","35-44","35-44"
-1869477376,,8561,,,"35-44","35-44","45-54","45-54"
72679744,3629,,,,"35-44","35-44","45-54","45-54"
-1841217535,3648,,,,"25-34","25-34","25-34","35-44"
1332077889,,6596,,,"16-24","25-34","25-34","25-34"
-667178510,299,,,,"25-34","35-44","35-44","45-54"
1437116096,5211,3880,,3880,"25-34","35-44","35-44","45-54"
-1972079814,,,5639,,"25-34","35-44","35-44","45-54"
-1327875051,,8395,,,"45-54","45-54","45-54","55-64"
-349741751,2252,1710,,1710,"45-54","45-54","55-64","55-64"
-329494903,5031,,,2863,"25-34","25-34","35-44","35-44"
-1732641587,,,,6010,"16-24","16-24","25-34","25-34"
-1887091167,,,,4497,"25-34","25-34","25-34","35-44"
-268991922,4023,,,,"25-34","25-34","35-44","35-44"
-1155348766,5497,,,,"45-54","45-54","55-64","55-64"
-1839210254,1176,,,1256,"45-54","55-64","55-64","55-64"
-1035014764,,,10346,,"0-15","16-24","16-24","25-34"
165279250,,,,3597,"35-44","35-44","45-54","45-54"
1145384972,,,,4403,"25-34","25-34","35-44","35-44"
-1727502239,,5909,,5909,"16-24","16-24","25-34","25-34"
1770981300,3372,,,,"35-44","35-44","45-54","45-54"
1710738624,,8745,,,"16-24","25-34","25-34","25-34"
-1604614130,5744,3158,,,"25-34","25-34","35-44","35-44"
-635863438,1739,,,,"35-44","45-54","45-54","45-54"
-303069817,,,,3788,"25-34","25-34","35-44","35-44"
-966832238,,7844,,,"16-24","25-34","25-34","25-34"
-1571214281,,8664,,,"45-54","45-54","55-64","55-64"
1944096958,,,10151,,"0-15","16-24","16-24","25-34"
952916376,,,,3891,"25-34","25-34","35-44","35-44"
1202876851,4071,,,,"45-54","45-54","55-64","55-64"
-1478396225,,9413,,,"25-34","25-34","35-44","35-44"
506145889,,,11445,5896,"16-24","16-24","25-34","25-34"
-132691659,,,12575,4810,"16-24","25-34","25-34","25-34"
1560450345,,7545,,,"16-24","25-34","25-34","25-34"
-1932387219,1442,,,,"25-34","25-34","35-44","35-44"
272441754,3506,8044,,,"35-44","35-44","45-54","45-54"
-412097390,,,,5946,"35-44","35-44","35-44","45-54"
482572539,,,,5197,"25-34","25-34","35-44","35-44"
-143467972,2889,,,,"45-54","45-54","55-64","55-64"
378093281,,"8680,9284",10324,,"0-15","16-24","25-34","25-34"
1206764960,2914,,,,"25-34","25-34","35-44","35-44"
-483753556,,,,3528,"16-24","25-34","25-34","35-44"
307776328,,,,3514,"16-24","25-34","25-34","35-44"
800472117,769,1188,1188,1188,"55-64","65-74","65-74","75-84"
1713812310,,6713,,,"16-24","16-24","25-34","25-34"
-1499435065,,,,5240,"16-24","16-24","25-34","25-34"
-1280196129,2985,2028,,,"35-44","35-44","45-54","45-54"
-213264666,,9397,,,"0-15","16-24","16-24","25-34"
-234652796,,,,4714,"55-64","55-64","55-64","65-74"
-1104297794,,,13165,,"16-24","16-24","25-34","25-34"
-1566942648,,,,6284,"16-24","16-24","25-34","25-34"
1003060719,2943,,,,"45-54","55-64","55-64","65-74"
-1101427233,3799,,,,"25-34","25-34","35-44","35-44"
1614823845,2472,,,,"45-54","45-54","55-64","55-64"
-218733498,4144,,,,"25-34","25-34","35-44","35-44"
172515621,,8542,,,"16-24","16-24","25-34","25-34"
-1406360441,1580,,,,"35-44","45-54","45-54","55-64"
-694258600,,,,4514,"35-44","35-44","45-54","45-54"
1701325495,1559,,,,"45-54","45-54","45-54","55-64"
-2136109068,,7682,,,"16-24","16-24","25-34","25-34"
-2080612646,1929,,,,"25-34","25-34","35-44","35-44"
1065164215,4188,,,,"16-24","25-34","25-34","35-44"
-1391735631,5980,3278,,,"35-44","35-44","45-54","45-54"
-572172046,,4494,,4494,"25-34","25-34","35-44","35-44"
1107344317,,8541,,,"25-34","25-34","35-44","35-44"
556003182,,,,4508,"16-24","25-34","25-34","35-44"
477152746,5853,,,,"25-34","35-44","35-44","45-54"
1708630561,,6699,,,"35-44","45-54","45-54","45-54"
527215593,,,,3667,"25-34","25-34","35-44","35-44"
-1118852019,2307,6188,,6188,"25-34","35-44","35-44","35-44"
1591691427,450,,,,"35-44","45-54","45-54","55-64"
-1129085865,,,,4707,"25-34","25-34","35-44","35-44"
-484846495,,5926,,5926,"16-24","16-24","25-34","25-34"
346969441,,,10364,,"0-15","0-15","16-24","16-24"
-1387741601,6420,,12661,3394,"35-44","35-44","45-54","45-54"
1105533322,,,12801,,"25-34","25-34","25-34","35-44"
-458502513,3284,,,,"55-64","55-64","65-74","65-74"
2113236359,2628,,,,"25-34","35-44","35-44","35-44"
-1193752830,,7607,,,"25-34","35-44","35-44","35-44"
-1709085725,,8567,,,"25-34","35-44","35-44","45-54"
-1820043664,,,12585,,"16-24","16-24","25-34","25-34"
-2043641546,,,,5885,"45-54","55-64","55-64","55-64"
1169133488,,6103,6103,6103,"25-34","35-44","35-44","35-44"
-1471862453,,5412,,5412,"16-24","25-34","25-34","25-34"
1666988332,,,,6173,"16-24","25-34","25-34","25-34"
785122433,4385,,,2609,"35-44","35-44","45-54","45-54"
-981126318,4101,2448,,2448,"25-34","25-34","35-44","35-44"
147580908,,,,4765,"25-34","35-44","35-44","35-44"
-1085798027,"3505,5704",,,,"25-34","25-34","35-44","35-44"
-1913698194,,6658,,,"25-34","25-34","35-44","35-44"
2119705035,,,10378,,"25-34","25-34","35-44","35-44"
1689458703,,6078,,6078,"16-24","16-24","25-34","25-34"
534675286,629,,,,"35-44","35-44","45-54","45-54"
-31220839,,9000,,,"16-24","16-24","25-34","25-34"
-195038494,,6574,,,"16-24","16-24","25-34","25-34"
1062397677,1352,,,,"25-34","35-44","35-44","35-44"
1449888147,,,,6400,"55-64","65-74","65-74","65-74"
1405464051,,2160,,2160,"45-54","55-64","55-64","55-64"
442598625,2236,,,,"25-34","25-34","35-44","35-44"
-555434334,,,,1809,"25-34","25-34","35-44","35-44"
1034681005,2611,,,,"25-34","25-34","35-44","35-44"
1019120545,1777,,,,"25-34","35-44","35-44","45-54"
1260289827,2265,,,,"35-44","35-44","45-54","45-54"
1657295738,622,,,,"25-34","35-44","35-44","45-54"
-1659974485,878,,,,"35-44","45-54","45-54","55-64"
636311075,,,,5209,"16-24","16-24","25-34","25-34"
799772398,64,8874,,,"35-44","45-54","45-54","55-64"
970955766,,9501,,,"25-34","25-34","25-34","35-44"
141892401,1108,,,,"45-54","45-54","55-64","55-64"
874155911,1267,,,,"25-34","35-44","35-44","45-54"
-232515428,,7740,,,"16-24","25-34","25-34","35-44"
-1838312359,5943,3523,,3523,"35-44","35-44","45-54","45-54"
483176669,,,10333,,"25-34","35-44","35-44","35-44"
-1326217404,,7971,,,"16-24","25-34","25-34","25-34"
-1338360841,2695,,,,"25-34","35-44","35-44","45-54"
-1792990210,,,11422,,"16-24","25-34","25-34","25-34"
-1988948481,,,6429,,"25-34","25-34","35-44","35-44"
-625036487,,7681,,,"16-24","16-24","25-34","25-34"
-1330153935,,,11504,,"16-24","16-24","25-34","25-34"
658395112,5619,,,3091,"25-34","25-34","35-44","35-44"
1436722427,3137,,,,"35-44","35-44","45-54","45-54"
1876375807,,,12616,,"16-24","25-34","25-34","35-44"
1283226432,,7731,7731,,"45-54","45-54","55-64","55-64"
1034225897,4948,,,,"35-44","45-54","45-54","45-54"
-1092234140,,8310,,,"25-34","25-34","25-34","35-44"
1257802533,,7146,,,"16-24","16-24","25-34","25-34"
-1718669462,,5257,,5257,"45-54","45-54","55-64","55-64"
264963340,1602,,,,"25-34","25-34","35-44","35-44"
62895560,2842,,,1941,"16-24","25-34","25-34","25-34"
-1066496074,5919,,,,"16-24","25-34","25-34","35-44"
-1008074338,1192,,,1265,"25-34","35-44","35-44","35-44"
1949136502,,7798,,,"16-24","16-24","25-34","25-34"
-1058650932,,,,5355,"25-34","35-44","35-44","35-44"
-1181430688,,,16435,,"16-24","16-24","25-34","25-34"
-1330565805,,,14178,3547,"35-44","45-54","45-54","55-64"
-1663101744,,,12794,,"16-24","16-24","25-34","25-34"
925931701,,,16324,,"25-34","35-44","35-44","45-54"
1767079861,,9512,,"3821,6203","25-34","25-34","35-44","35-44"
-2073982150,300,,,,"55-64","55-64","55-64","65-74"
-664521198,,5981,,5981,"25-34","25-34","25-34","35-44"
-373398122,,9184,,,"16-24","25-34","25-34","35-44"
1478160121,,,,5236,"25-34","25-34","35-44","35-44"
829524096,,7516,,,"25-34","35-44","35-44","35-44"
-1196166452,,9621,,,"16-24","16-24","25-34","25-34"
-1586058117,5929,,,,"25-34","25-34","25-34","35-44"
-1129023816,626,1160,,1160,"35-44","35-44","45-54","45-54"
1630363759,,,10305,,"16-24","25-34","25-34","35-44"
423343912,,7687,,,"16-24","16-24","25-34","25-34"
-1506987601,4050,,,,"35-44","35-44","45-54","45-54"
2046024932,5075,,,,"25-34","35-44","35-44","35-44"
1656347515,,9298,,,"16-24","25-34","25-34","35-44"
459482059,2644,,,1834,"35-44","35-44","45-54","45-54"
1761500746,4934,,,2812,"35-44","35-44","35-44","45-54"
-1866540099,,,11432,,"25-34","25-34","35-44","35-44"
-1353274743,4520,,,,"25-34","35-44","35-44","45-54"
-522184616,4151,,,,"35-44","35-44","45-54","45-54"
-1873386409,3941,,,,"45-54","45-54","55-64","55-64"
-470656926,,,,6288,"16-24","16-24","25-34","25-34"
-369482819,,,11446,,"0-15","16-24","25-34","25-34"
1935922217,,9352,,,"25-34","25-34","25-34","35-44"
606393489,6102,,,,"25-34","25-34","35-44","35-44"
-417909560,990,,,216,"35-44","45-54","45-54","45-54"
1485574336,1857,,,,"25-34","25-34","35-44","35-44"
368341182,1295,1322,,1322,"25-34","25-34","35-44","35-44"
1931476075,4180,,,,"25-34","35-44","35-44","45-54"
137672687,4852,,,,"35-44","35-44","45-54","45-54"
-1946659145,,,,5250,"16-24","25-34","25-34","35-44"
162181999,2512,,,,"45-54","45-54","55-64","55-64"
1811364790,,7151,,,"25-34","35-44","35-44","45-54"
-1547684317,,,,4717,"25-34","25-34","35-44","35-44"
1324389095,,9131,13111,,"25-34","35-44","35-44","35-44"
-688908259,,,,3537,"16-24","25-34","25-34","35-44"
-371320429,,6590,,,"25-34","25-34","35-44","35-44"
-838132518,2347,,,,"35-44","35-44","45-54","45-54"
403135534,1599,,,,"25-34","35-44","35-44","45-54"
-865249657,2228,,,1695,"65-74","65-74","75-84","75-84"
1442707838,,,10374,,"0-15","0-15","16-24","16-24"
1806913000,,6731,,,"16-24","25-34","25-34","25-34"
1142463298,4908,,,,"45-54","45-54","55-64","55-64"
-1156887664,164,,,,"25-34","35-44","35-44","45-54"
-193331533,3675,,,,"25-34","25-34","35-44","35-44"
-922142938,"191,4909",,,,"35-44","35-44","45-54","45-54"
-1952849050,2086,,,,"25-34","25-34","35-44","35-44"
-411617076,,8623,,,"16-24","16-24","25-34","25-34"
1941123182,,7370,,,"16-24","25-34","25-34","25-34"
1805743874,,,,4377,"16-24","25-34","25-34","25-34"
-219488806,,,,5496,"16-24","16-24","25-34","25-34"
597445080,,5735,,5735,"25-34","25-34","35-44","35-44"
-163597961,2517,,,,"25-34","25-34","35-44","35-44"
323056876,3116,,,,"55-64","55-64","65-74","65-74"
878015693,6312,,,,"55-64","55-64","65-74","65-74"
-972414844,,,,5401,"25-34","25-34","35-44","35-44"
446881675,,,10355,,"35-44","35-44","45-54","45-54"
2039805326,,4691,,4691,"16-24","25-34","25-34","35-44"
-733857993,,,16510,,"16-24","16-24","25-34","25-34"
